Course Title,Course Subject,A+,A,Total 4.0,Total A,Total Kids,Percent 4.0,Percent A,ACP,HUM,SSBS,CW,CNW,Credit Hours
RLST108,RLST,36,26,62,70,83,0.7469879518072289,0.8433734939759037,NO,NO,NO,NO,NO,3
RLST110,RLST,18,83,101,182,511,0.19765166340508805,0.3561643835616438,NO,Yes,NO,Yes,Yes,3
RLST132,RLST,3,4,7,16,39,0.1794871794871795,0.41025641025641024,NO,Yes,NO,NO,Yes,3
RLST214,RLST,0,9,9,10,29,0.3103448275862069,0.3448275862068966,NO,NO,NO,NO,NO,3
RST100,RST,7,29,36,69,187,0.1925133689839572,0.3689839572192513,NO,NO,Yes,NO,NO,3
RST101,RST,36,21,57,57,80,0.7125,0.7125,NO,NO,NO,NO,NO,1
RST110,RST,11,35,46,63,137,0.3357664233576642,0.45985401459854014,NO,NO,NO,NO,NO,2
RST130,RST,6,20,26,41,63,0.4126984126984127,0.6507936507936508,NO,NO,NO,NO,NO,3
RST199,RST,31,87,118,144,211,0.5592417061611374,0.6824644549763034,NO,NO,NO,NO,NO,1
RST200,RST,0,39,39,39,93,0.41935483870967744,0.41935483870967744,NO,NO,NO,NO,NO,2
RST217,RST,0,27,27,27,35,0.7714285714285715,0.7714285714285715,NO,NO,NO,NO,NO,3
RST230,RST,2,20,22,25,57,0.38596491228070173,0.43859649122807015,NO,NO,NO,NO,Yes,3
RST242,RST,0,216,216,216,349,0.6189111747851003,0.6189111747851003,NO,NO,NO,Yes,NO,3
RST255,RST,0,33,33,33,95,0.3473684210526316,0.3473684210526316,NO,NO,NO,NO,NO,2
RST300,RST,14,16,30,30,39,0.7692307692307693,0.7692307692307693,NO,NO,NO,NO,NO,3
RST316,RST,2,13,15,20,83,0.18072289156626506,0.24096385542168675,NO,NO,NO,NO,NO,3
RST320,RST,0,8,8,16,65,0.12307692307692308,0.24615384615384617,NO,NO,NO,NO,NO,3
RST330,RST,0,19,19,20,46,0.41304347826086957,0.43478260869565216,NO,NO,Yes,Yes,NO,3
RST340,RST,28,6,34,38,47,0.723404255319149,0.8085106382978723,NO,NO,NO,NO,NO,3
RST354,RST,0,4,4,9,46,0.08695652173913043,0.1956521739130435,NO,NO,NO,NO,NO,3
